"Neutral vs Coloured, ill 1","Neutral vs Coloured, ill 2","Neutral vs Coloured, ill 3","Neutral vs Coloured, ill 4","Neutral vs Coloured, ill 5","Neutral vs Coloured, ill 6","Neutral vs Coloured, ill 7","Neutral vs Coloured, ill 8",Neutral vs Neutral,Gray vs Gray,Colour vs Colour Ill 1,Colour vs Colour Ill 2,Colour vs Colour Ill 3,Colour vs Colour Ill 4,Colour vs Colour Ill 5,Colour vs Colour Ill 6,Colour vs Colour Ill 7,Colour vs Colour Ill 8
2.5923,3.3353,3.9712,2.5923,2.5923,2.5923,2.5923,2.0792,2.5923,3.9712,2.5923,2.0792,2.0792,3.9712,3.3353,3.3353,3.3353,3.9712
3.3353,3.3353,3.3353,2.0792,2.0792,2.0792,2.5923,3.3353,2.0792,3.3353,2.5923,3.3353,2.5923,2.5923,2.5923,2.5923,3.3353,2.5923
3.9712,2.5923,3.9712,2.5923,2.0792,3.3353,3.9712,2.5923,3.3353,3.9712,3.3353,2.5923,2.0792,3.9712,3.3353,2.5923,3.9712,3.9712
1.2816,3.3353,1.6584,1.6584,2.5923,2.5923,1.6584,3.3353,1.6584,1.6584,2.5923,2.0792,1.6584,1.6584,2.0792,1.6584,1.6584,3.3353
2.0792,2.5923,3.9712,2.5923,0.92164,3.3353,2.5923,3.9712,3.3353,2.0792,2.5923,3.9712,3.9712,3.3353,3.3353,2.5923,3.9712,3.9712
2.0792,3.3353,3.9712,2.5923,2.5923,2.0792,2.5923,3.9712,3.9712,2.0792,2.0792,2.5923,3.3353,3.9712,2.5923,3.3353,3.3353,3.9712
2.0792,2.5923,1.2816,3.3353,2.5923,3.3353,2.5923,3.3353,3.3353,2.5923,2.0792,2.5923,2.0792,2.5923,2.5923,1.6584,3.3353,2.0792
3.9712,3.3353,3.9712,3.9712,3.3353,3.3353,3.3353,3.9712,3.3353,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,3.3353
3.3353,3.9712,3.3353,3.9712,1.6584,2.0792,3.3353,3.9712,3.9712,3.9712,3.3353,3.3353,3.9712,3.9712,3.9712,3.9712,2.5923,3.3353
3.9712,3.3353,2.5923,3.9712,3.3353,3.9712,3.3353,3.3353,3.9712,2.5923,3.9712,3.3353,3.9712,3.9712,3.9712,3.3353,3.9712,3.9712
2.0792,3.3353,2.5923,3.3353,3.3353,2.0792,3.3353,3.3353,3.9712,3.9712,2.5923,3.9712,3.3353,3.9712,2.5923,2.5923,2.5923,1.6584
2.0792,1.6584,2.0792,1.6584,1.2816,2.0792,3.3353,2.0792,2.0792,3.3353,2.0792,2.0792,0.92164,2.0792,0.92164,3.3353,2.5923,2.5923
1.2816,2.0792,1.2816,2.5923,0.92164,1.6584,1.6584,0.92164,2.0792,2.0792,1.2816,1.2816,3.3353,3.3353,3.3353,3.3353,1.6584,1.6584
2.5923,2.0792,3.3353,2.0792,3.3353,3.3353,3.3353,3.9712,3.3353,3.3353,2.5923,3.9712,2.5923,3.3353,3.3353,3.9712,3.9712,3.9712
3.3353,3.9712,2.5923,2.5923,3.3353,3.3353,2.0792,3.3353,2.5923,3.9712,3.3353,3.3353,3.9712,3.9712,2.5923,2.5923,3.9712,3.9712
3.9712,3.3353,3.3353,1.6584,3.3353,3.3353,2.5923,3.9712,3.9712,2.5923,2.5923,2.5923,3.9712,3.3353,2.0792,3.3353,2.5923,3.3353
3.3353,3.9712,3.3353,3.9712,3.3353,2.5923,3.3353,2.5923,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,2.5923,3.3353,3.9712,3.9712
2.0792,2.5923,3.9712,1.6584,1.6584,2.0792,3.3353,2.5923,3.3353,2.5923,2.5923,3.3353,2.5923,2.0792,2.0792,2.5923,1.2816,2.0792
3.3353,2.0792,3.3353,2.5923,2.0792,2.5923,2.5923,2.5923,3.9712,2.5923,2.0792,2.5923,3.9712,2.0792,3.3353,2.5923,2.5923,3.9712
3.3353,3.9712,3.9712,3.9712,2.5923,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,3.9712,3.3353,3.9712,2.5923,3.3353,3.9712
